1.749,2.294,2.957,3.746,4.664,5.709,6.87,8.127,9.453,10.814,12.173,13.49,14.731,15.868,16.884,17.775,18.543,19.201,19.762,20.238,20.632,20.938,21.14,21.218,21.147,20.909,20.494,19.909,19.175,18.324,17.402,16.452,15.519,14.636,13.827,13.102,12.46,11.89,11.375,10.896,10.434,9.969,9.485,8.97,8.415,7.816,7.174,6.494,5.788,5.072,4.363,3.679,3.039,2.456,1.941,1.499,1.131,0.833,0.599,0.42
2.258,2.936,3.751,4.709,5.81,7.047,8.405,9.858,11.373,12.909,14.426,15.881,17.238,18.472,19.57,20.532,21.368,22.097,22.736,23.3,23.789,24.194,24.491,24.647,24.628,24.406,23.964,23.305,22.451,21.441,20.328,19.17,18.024,16.935,15.938,15.052,14.279,13.611,13.03,12.512,12.032,11.563,11.08,10.563,9.995,9.366,8.673,7.92,7.12,6.291,5.454,4.635,3.857,3.139,2.498,1.943,1.475,1.094,0.792,0.56
2.864,3.694,4.679,5.822,7.119,8.556,10.112,11.755,13.444,15.135,16.78,18.338,19.774,21.066,22.207,23.206,24.081,24.859,25.564,26.21,26.799,27.313,27.719,27.973,28.027,27.84,27.388,26.668,25.702,24.535,23.229,21.857,20.487,19.181,17.987,16.932,16.026,15.265,14.629,14.09,13.616,13.171,12.721,12.234,11.685,11.055,10.335,9.527,8.642,7.701,6.733,5.768,4.836,3.966,3.18,2.49,1.905,1.423,1.037,0.739
3.573,4.572,5.744,7.085,8.586,10.227,11.976,13.794,15.635,17.447,19.183,20.798,22.263,23.563,24.699,25.69,26.567,27.364,28.112,28.828,29.512,30.14,30.666,31.034,31.18,31.05,30.609,29.847,28.785,27.474,25.985,24.402,22.811,21.289,19.897,18.676,17.644,16.8,16.125,15.589,15.15,14.764,14.384,13.967,13.475,12.879,12.162,11.321,10.366,9.322,8.22,7.099,6,4.959,4.005,3.16,2.435,1.832,1.345,0.965
4.385,5.57,6.942,8.492,10.203,12.045,13.976,15.95,17.912,19.807,21.584,23.204,24.641,25.89,26.964,27.896,28.727,29.504,30.264,31.03,31.796,32.532,33.183,33.675,33.93,33.878,33.471,32.693,31.561,30.13,28.479,26.704,24.908,23.184,21.607,20.233,19.09,18.181,17.491,16.985,16.615,16.326,16.059,15.755,15.363,14.841,14.161,13.315,12.309,11.17,9.935,8.652,7.371,6.139,4.995,3.97,3.081,2.335,1.727,1.248
5.297,6.682,8.266,10.034,11.956,13.992,16.092,18.197,20.246,22.18,23.948,25.514,26.862,27.997,28.948,29.761,30.493,31.203,31.938,32.721,33.547,34.378,35.148,35.767,36.141,36.185,35.838,35.073,33.905,32.388,30.61,28.679,26.709,24.811,23.077,21.575,20.345,19.398,18.721,18.276,18.011,17.859,17.747,17.601,17.353,16.946,16.341,15.519,14.484,13.262,11.897,10.445,8.967,7.524,6.167,4.937,3.858,2.944,2.194,1.596
6.303,7.899,9.704,11.694,13.826,16.05,18.302,20.512,22.614,24.544,26.251,27.707,28.905,29.864,30.629,31.264,31.841,32.432,33.093,33.853,34.706,35.607,36.478,37.218,37.715,37.869,37.605,36.887,35.723,34.166,32.31,30.27,28.175,26.148,24.297,22.704,21.421,20.468,19.835,19.485,19.359,19.381,19.464,19.518,19.456,19.205,18.71,17.942,16.9,15.608,14.116,12.489,10.802,9.128,7.534,6.072,4.778,3.67,2.753,2.017
7.392,9.208,11.241,13.455,15.797,18.199,20.588,22.882,25.005,26.893,28.496,29.792,30.785,31.511,32.032,32.429,32.792,33.208,33.743,34.431,35.267,36.201,37.146,37.988,38.603,38.875,38.715,38.077,36.962,35.421,33.546,31.46,29.301,27.204,25.29,23.653,22.359,21.435,20.879,20.655,20.699,20.926,21.238,21.526,21.685,21.624,21.271,20.584,19.553,18.203,16.588,14.782,12.874,10.952,9.098,7.38,5.844,4.518,3.411,2.516
8.552,10.594,12.86,15.299,17.847,20.423,22.937,25.298,27.421,29.239,30.704,31.801,32.547,32.992,33.218,33.325,33.419,33.604,33.955,34.515,35.28,36.199,37.179,38.095,38.813,39.203,39.165,38.641,37.623,36.156,34.332,32.275,30.125,28.028,26.114,24.489,23.228,22.372,21.922,21.848,22.083,22.537,23.098,23.643,24.047,24.2,24.012,23.425,22.423,21.026,19.291,17.303,15.164,12.979,10.847,8.851,7.052,5.486,4.168,3.093
9.771,12.041,14.54,17.206,19.959,22.705,25.34,27.76,29.874,31.608,32.917,33.793,34.264,34.396,34.289,34.06,33.837,33.734,33.844,34.216,34.851,35.7,36.665,37.617,38.413,38.914,39.009,38.629,37.757,36.429,34.729,32.779,30.721,28.701,26.855,25.3,24.12,23.364,23.045,23.135,23.57,24.256,25.072,25.879,26.536,26.913,26.9,26.426,25.462,24.025,22.175,20.006,17.631,15.175,12.753,10.464,8.384,6.56,5.014,3.744
