50,50
49,50
48,50
48,51
48,52
48,53
47,53
47,54
46,54
45,54
45,55
44,55
44,56
44,57
44,58
44,59
44,60
44,61
44,62
44,63
44,64
44,65
44,66
43,66
43,67
42,67
41,67
40,67
40,68
39,68
39,69
38,69
37,69
37,70
37,71
38,71
38,70
39,70
39,71
40,71
40,70
40,69
41,69
41,68
42,68
43,68
44,68
44,67
45,67
45,66
46,66
46,65
46,64
45,64
45,63
45,62
45,61
45,60
45,59
45,58
45,57
45,56
46,56
46,55
47,55
47,56
47,57
46,57
46,58
46,59
46,60
46,61
46,62
46,63
47,63
47,64
47,65
47,66
47,67
46,67
46,68
45,68
45,69
46,69
47,69
47,68
48,68
48,67
48,66
48,65
48,64
48,63
48,62
47,62
47,61
47,60
47,59
47,58
48,58
48,57
48,56
48,55
48,54
49,54
49,55
49,56
49,57
49,58
49,59
48,59
48,60
48,61
49,61
49,62
49,63
49,64
49,65
49,66
49,67
50,67
50,66
50,65
50,64
50,63
50,62
50,61
50,60
49,60
49,59
50,59
50,58
50,57
50,56
50,55
50,54
50,53
49,53
49,52
49,51
50,51
50,52
51,52
51,53
51,54
51,55
51,56
51,57
51,58
51,59
51,60
51,61
51,62
51,63
51,64
51,65
51,66
51,67
51,68
50,68
49,68
49,69
50,69
51,69
52,69
52,68
53,68
54,68
55,68
56,68
57,68
58,68
59,68
60,68
60,67
59,67
59,66
59,65
59,64
59,63
60,63
61,63
62,63
62,62
63,62
64,62
64,61
63,61
62,61
61,61
61,62
60,62
59,62
58,62
58,63
58,64
58,65
58,66
58,67
57,67
57,66
57,65
57,64
57,63
57,62
57,61
58,61
59,61
60,61
60,60
61,60
62,60
63,60
64,60
64,59
63,59
62,59
61,59
60,59
59,59
59,60
58,60
58,59
58,58
59,58
60,58
61,58
62,58
63,58
64,58
65,58
65,57
65,56
66,56
67,56
68,56
68,55
69,55
70,55
71,55
71,54
70,54
69,54
68,54
67,54
67,55
66,55
66,54
66,53
67,53
67,52
68,52
68,51
68,50
69,50
70,50
71,50
